Fech.,Abertura,Mínimo,Máximo,Volume,Negócios
15.03,14.94,14.81,15.1,551549890,36432
14.87,14.98,14.86,15.16,742175441,33941
14.99,14.88,14.81,15.05,519911573,28531
14.71,15.1,14.69,15.15,527619643,29780
15.02,14.65,14.51,15.02,999855183,63545
14.41,14.57,14.23,14.65,811274062,39967
14.17,13.96,13.94,14.18,253330636,19082
14.02,13.85,13.82,14.19,840919384,45978
13.65,13.53,13.47,13.77,1127334175,36404
13.45,13.79,13.44,13.9,792365081,35536
13.85,13.85,13.68,13.85,372961613,19058
13.87,13.87,13.76,14.03,375722226,18653
13.88,13.87,13.81,13.94,333701392,16393
13.8,13.78,13.68,13.89,441464458,30735
13.76,13.78,13.65,13.93,655401189,27168
13.79,13.7,13.64,13.87,753725243,34109
13.34,13.64,13.28,13.66,532123710,26415
13.6,13.16,13.16,13.6,883760096,45458
13.05,13.12,13.02,13.26,303731767,19880
13.13,13.3,13.1,13.38,593202870,29373
13.15,13.08,13.05,13.24,317034045,17743
13.08,12.98,12.91,13.22,411447843,26888
12.95,13.14,12.94,13.2,548683630,31474
13.19,13.6,13.15,13.66,746415581,31122
13.52,13.51,13.44,13.61,361599309,22927
13.49,13.5,13.46,13.69,386454000,25084
13.55,13.35,13.33,13.62,400809268,28934
13.4,13.41,13.26,13.48,287162815,21342
13.31,13.57,13.31,13.66,418139902,29551
13.51,13.13,13.08,13.61,614112556,34417
13.12,13.3,13.08,13.32,296705520,21897
13.29,13.22,13.07,13.31,411400212,24054
13.13,12.98,12.91,13.13,270994583,22745
13,13.05,13,13.17,280841378,27970
12.98,13.3,12.98,13.34,379670907,19717
13.22,13.01,13.01,13.25,388914000,22880
12.88,12.83,12.77,12.92,207135863,14044
12.69,13,12.67,13.04,492974376,27192
13.1,13.29,13.03,13.35,390321751,23229
13.23,13,12.97,13.27,476642223,39002
12.94,13,12.83,13.02,245938515,21376
12.89,13.03,12.87,13.05,361660184,20989
13.05,12.96,12.91,13.06,465448443,25153
12.87,12.96,12.8,13.04,423924884,29262
12.94,12.64,12.51,12.99,841813255,58035
12.33,11.95,11.9,12.45,553012171,29344
11.98,11.83,11.74,12.01,255634339,21084
11.93,12.13,11.85,12.17,507790351,33563
12.17,12.28,12.08,12.36,632686650,33553
12.21,12.38,12.12,12.52,513583970,28049
12.43,12.34,12.32,12.43,153960842,11030
12.36,12.28,12.22,12.41,385054662,27111
12.37,12.25,12.19,12.48,363572554,20688
12.18,12.26,12.09,12.3,294770700,23781
12.08,12.08,12.01,12.32,380151721,31745
12.21,12.34,12.13,12.48,550844223,36231
12.27,12.1,12.04,12.3,516683229,37804
11.93,12.11,11.87,12.15,398027422,24580
12.04,11.76,11.72,12.04,499899167,34233
11.64,11.95,11.59,12.12,692545615,42623
11.86,12.12,11.76,12.13,640599386,59170
12.29,12.31,12.22,12.47,565797546,34821
12.28,12.58,12.21,12.59,901036179,43505
12.62,12.94,12.61,13.04,857796304,51488
12.94,12.95,12.77,13.02,293233987,21793
12.9,12.97,12.77,13.03,393118935,27508
12.85,12.96,12.83,13.1,391708394,31784
12.84,12.78,12.71,12.96,353459588,24746
12.87,13.28,12.81,13.34,572430249,36366
13.18,13.23,13.03,13.33,465526515,32432
13.18,12.96,12.92,13.24,410176564,29469
13.05,12.79,12.68,13.05,549295159,35027
12.82,13.16,12.82,13.29,556892015,37418
12.96,13.21,12.95,13.31,584459581,44552
13.36,13.55,13.36,13.64,464029132,28349
13.57,13.57,13.55,13.76,216812716,16313
13.68,13.47,13.4,13.79,858044236,58405
13.74,13.97,13.63,14.19,620916189,44970
13.94,13.75,13.69,14.09,749195302,45097
13.49,13.45,13.38,13.6,653341085,54458
13.4,13.35,13,13.51,728579887,65890
13.62,13.75,13.46,13.9,963369569,77092
13.15,12.45,12.45,14,1907705833,67478
15.61,15.56,15.51,15.72,465614443,39454
15.7,15.77,15.52,15.78,534586812,32599
15.68,15.77,15.65,15.87,734924425,36622
15.45,15.5,15.35,15.58,1284107639,67325
14.82,14.88,14.64,14.92,425637571,27398
14.73,14.34,14.31,14.75,672417274,45021
14.14,14.15,14.04,14.24,393081307,22539
14.08,14.13,13.98,14.35,513769627,26437
14.21,13.69,13.66,14.21,456568411,26719
13.6,14,13.58,14,514534581,34316
14.16,14.04,13.95,14.25,531863602,29317
13.99,14.06,13.85,14.34,530775421,45564
13.97,13.85,13.69,14.1,430932156,20356
13.73,13.99,13.56,14.03,398038771,23722
14,14.16,14,14.49,522416698,28055
14.34,13.9,13.8,14.34,448442550,24691
14.03,14.13,13.92,14.16,383580396,21027
13.88,13.8,13.63,13.9,384483895,22878
13.6,14.24,13.55,14.28,565169891,37737
14.1,14.15,13.95,14.37,640335609,42294
14.28,14.14,13.97,14.35,653380091,31102
14.08,14.65,14.08,14.69,634388960,28908
14.65,14.6,14.58,14.83,624795254,26903
14.68,14.97,14.55,14.99,566769390,30111
14.94,14.9,14.7,14.94,557354115,21970
14.7,14.61,14.6,14.9,486397462,32933
14.53,14.62,14.42,14.87,503843936,27497
14.57,15.05,14.5,15.16,740890668,49247
14.85,14.67,14.57,14.89,352918198,21985
14.67,14.54,14.53,14.75,573379493,31381
14.49,14.36,14.26,14.65,485358809,22471
14.45,14.55,14.35,14.64,474026455,29437
14.45,14.04,13.93,14.49,611176864,45194
13.95,13.9,13.77,14.11,625540593,45131
13.77,13.24,13.02,13.79,427580445,29713
13.48,13.7,13.34,13.77,404140670,36193
13.57,13.48,13.42,13.82,495122697,33031
13.66,13.2,13.03,13.72,835171658,75730
13,13.61,12.82,13.63,604873258,57508
13.6,12.98,12.91,13.67,696885374,46941
13.16,13.81,13.05,13.88,1085024423,82061
13.71,14.26,13.68,14.32,488646421,41439
14.2,13.86,13.55,14.2,764846785,51293
13.59,14.07,13.59,14.1,916913515,58543
14.37,14.33,14.16,14.4,399803751,31120
14.31,14.72,14.24,14.88,614151939,36024
14.5,14.5,14.17,14.59,665827153,44025
14.55,15.16,14.55,15.18,729536853,73370
15.18,15.18,15.12,15.38,470817331,31702
15.1,15.1,15.04,15.47,354337315,25812
15.32,15.22,15.04,15.34,373078109,24201
15.11,15.44,14.99,15.45,583557092,38983
15.52,15.51,15.32,15.55,397238039,26166
15.18,15.35,15.1,15.47,463634465,32097
15.56,15.94,15.48,16.1,649188816,38407
15.7,16,15.57,16.02,713306823,42845
16.09,16.1,16.04,16.23,543204751,32007
15.92,15.74,15.65,15.98,529703059,25672
15.61,15.74,15.6,15.9,389855624,21052
15.86,15.84,15.75,16.07,593031944,34961
15.84,15.91,15.78,16.05,763938572,51252
15.82,15.74,15.56,15.95,543006356,45249
15.62,15.77,15.55,15.91,572453222,40705
15.58,15.2,15.14,15.63,685404114,46594
15.05,15.18,14.96,15.24,511618512,28440
15.1,14.77,14.27,15.1,861209873,54174
14.7,15.1,14.7,15.16,434009614,25002
14.96,15.38,14.95,15.47,450522285,52583
15.34,14.92,14.77,15.34,609655914,40870
14.89,14.99,14.86,15.28,590933188,37746
15.02,15.26,14.91,15.41,544015805,32237
15.02,14.99,14.9,15.37,466453226,37108
14.84,15.51,14.84,15.53,404592675,41856
15.62,15.73,15.54,15.87,364881549,30818
15.8,16.15,15.8,16.19,597099756,41385
16.04,16.12,15.97,16.43,805622019,50520
15.99,15.94,15.79,16.09,401372150,27681
16,15.84,15.81,16.19,558667203,37513
15.77,15.82,15.58,15.88,341918356,20572
15.79,15.8,15.71,15.93,391422264,24053
15.82,15.73,15.72,15.97,455286006,24438
15.75,15.7,15.58,15.75,315096558,13728
15.68,15.77,15.57,15.95,540794917,30285
15.9,16.15,15.9,16.25,800242399,43412
15.66,15.64,15.27,15.68,533930096,27680
15.48,15.6,15.39,15.68,408290348,31187
15.33,15.5,15.33,15.6,395853062,20548
15.66,15.78,15.5,15.92,401383340,28712
15.75,15.7,15.62,15.91,750416010,34266
15.5,15.45,15.31,15.68,574660470,32250
15.5,14.95,14.95,15.65,613726454,37364
14.66,14.64,14.6,14.7,110251594,6897
14.87,14.85,14.52,14.88,266439891,19721
14.78,14.43,14.36,14.81,277762881,20265
14.41,14.5,14.26,14.55,215534672,13617
14.42,14.32,14.27,14.45,82501537,4840
14.24,14.05,14.01,14.35,309168316,23100
14.01,14.46,14.01,14.46,596031940,30722
14.34,14.45,14.04,14.48,469597065,28238
14.35,14.46,14.1,14.59,456286610,29668
14.36,14.88,14.35,14.89,571619699,27841
14.76,14.9,14.76,15.14,564261035,25998
14.85,14.78,14.33,14.91,633622634,51635
14.74,15.43,14.74,15.47,667048842,45559
15.45,15.55,15.38,15.69,519764575,38294
15.6,15.79,15.48,15.95,557199702,35529
15.58,15.88,15.52,15.9,584126379,29722
15.7,15.97,15.52,16,648013110,32380
15.86,16.3,15.77,16.33,802214962,37764
16.15,16,15.74,16.2,1023040935,65330
15.66,16.01,15.55,16.09,752226832,42162
15.83,15.12,14.75,15.91,903293010,53501
15.44,16,15.33,16.35,1063362857,67139
16,15.9,15.61,16.19,1316174668,57759
14.66,15.3,14.59,15.38,803761140,46719
15.46,15.2,15.2,15.56,597826222,37180
15.3,15.25,15.05,15.52,728061368,46168
15.58,15.9,15.58,15.9,231672132,12010
15.85,15.72,15.53,15.99,671014830,36125
15.93,15.93,15.25,16.08,925058048,44115
15.58,15.05,14.88,15.58,903896161,60252
14.52,14.37,14.21,14.69,797766759,46519
14.29,15.15,14.29,15.32,769711236,52393
14.74,14.55,14.18,14.96,1129528308,61599
14,13.8,13.33,14.18,1190281115,2496
14.01,15.18,13.94,15.46,1902200217,44759
15.5,17.1,15.5,17.18,1533778609,94293
16.65,15.85,15.81,17.1,1832973107,93707
17.04,17.1,16.73,17.48,963789126,42871
17.21,16.71,16.71,17.21,877342569,45553
15.99,16.47,15.91,16.58,997401704,57184
16.13,16.63,16.13,17.03,937533189,59189
16.86,17.88,16.56,17.88,1178290171,60241
17.69,18.03,17.61,18.17,748026374,48694
18.09,17.99,17.95,18.29,683237204,25942
18.09,18.11,18.09,18.49,798563954,36326
18.1,17.7,17.61,18.25,925073214,38772
18,18.22,17.71,18.29,1037308024,52991
18.2,18.26,18,18.43,941395100,50817
17.95,17.65,17.48,18.09,854846869,31741
17.74,17.31,17.22,17.74,1099335176,48292
17.62,17.72,17.34,17.79,1146810092,46561
17.42,17.21,17.18,17.64,1341211618,69547
16.9,16.24,16.07,16.9,1239306404,66142
16.26,16.01,15.98,16.29,1063794912,74520
15.76,15.19,15.03,15.82,899142382,42897
15.39,15.61,15.29,15.66,1047210135,46413
15.73,15.52,15.51,15.77,599703457,34258
15.26,15.23,14.97,15.38,1090130397,43130
15.1,14.71,14.62,15.1,1142794305,44374
14.58,14.58,14.16,14.64,935819200,40505
14.02,13.98,13.83,14.12,547706864,31465
13.97,13.67,13.62,13.97,474102201,26164
13.57,13.53,13.44,13.77,528427502,28869
13.43,13.8,13.43,13.9,720784063,37730
13.85,13.3,13.12,13.85,922394482,41757
13.12,13.4,12.87,13.4,752929953,49778
13.4,13.59,13.39,13.69,477486817,25987
13.69,13.98,13.54,13.98,721162532,48631
14,13.89,13.84,14.09,661999886,48058
13.66,13.6,13.4,13.69,823058791,41655
13.5,13.45,13.33,13.63,698162076,46265
13.05,13.42,13.02,13.54,675605015,34844
13.16,13.34,13.16,13.42,588971163,33583
13.51,13.21,13.16,13.56,563161894,35298
13.11,13.15,12.97,13.36,574176151,36314
13.01,13.7,12.94,13.85,852543081,63112
13.95,13.32,13.27,13.95,603758058,36988
13.51,13.96,13.51,14.02,582794508,40785
14.22,14.07,13.96,14.29,602475541,40697
13.98,13.69,13.53,13.98,569623280,29736
13.83,13.79,13.73,13.93,359912266,25656
13.57,13.22,13.15,13.58,762706325,42116
13,12.97,12.76,13.09,585180304,34154
12.85,13.13,12.71,13.22,784822234,45622
13.09,13.04,12.97,13.23,672169128,34218
12.87,12.5,12.45,12.96,468228087,25937
12.55,12.69,12.45,12.9,637826972,36459
12.53,12.42,12.35,12.64,503752563,25901
12.4,12.5,12.37,12.71,549920293,23737
12.67,12.48,12.42,12.86,770320346,25664
12.35,12.63,12.3,12.63,535449124,28398
12.79,12.82,12.7,12.92,425050847,27018
12.88,12.8,12.78,13.03,577432970,26443
12.76,12.47,12.32,12.76,583107399,34706
12.49,12.31,12.14,12.56,596410988,34431
12.31,12.19,12.07,12.37,654063029,36422
12,12.05,11.98,12.44,862813313,49390
12.1,11.63,11.6,12.1,657752701,49821
11.56,11.95,11.56,11.97,483393336,34975
11.88,11.92,11.75,12.07,396023523,27510
11.91,11.79,11.7,11.97,490430343,26375
11.65,12.12,11.65,12.17,636587178,37740
12.01,11.93,11.87,12.12,756652711,44654
11.9,11.58,11.33,11.9,645302628,47906
11.36,11.33,11.1,11.62,551955813,33560
11.25,11.93,11.22,11.97,598459393,36536
11.87,11.76,11.61,11.98,714220540,44681
11.44,11.4,11.15,11.55,459249712,36118
11.51,11.99,11.51,12.04,603205994,40812
11.88,11.95,11.85,12.07,454134758,34160
12.03,11.98,11.91,12.25,567393515,37053
11.94,11.84,11.72,11.97,399813298,26229
11.85,11.77,11.73,11.99,440343780,23765
11.82,11.82,11.54,11.9,575196858,30219
11.78,11.51,11.5,11.97,628986921,55287
11.55,10.97,10.87,11.74,870749792,59652
11.02,10.91,10.82,11.06,554016043,40323
10.93,10.92,10.66,10.98,574385009,49014
10.63,10.47,10.21,10.63,667074890,44042
10.65,10.61,10.58,10.8,617170405,57760
10.36,10,9.98,10.37,677672647,42366
9.84,9.85,9.67,9.94,416980892,26933
9.56,9.66,9.52,9.98,788314000,52025
9.5,9.09,8.95,9.52,621696879,37393
9.29,9.65,9.23,9.67,650206657,49785
9.87,9.95,9.79,10.05,239813774,14771
9.82,9.48,9.37,9.85,474561580,36911
9.42,9.42,9.24,9.49,409086719,19998
9.5,9.43,9.32,9.57,528907032,33041
9.2,9.1,9.07,9.28,413285352,30987
8.78,9.22,8.78,9.34,523210746,45754
9.25,9,8.92,9.33,688141107,52875
9.67,9.59,9.51,9.7,457943611,34313
9.34,9.61,9.34,9.75,588387657,35024
9.53,9.09,8.94,9.54,488894568,29922
9.18,9.22,9.12,9.37,587248258,51235
8.95,8.75,8.73,8.95,557610412,36952
8.5,8.41,8.28,8.54,393273364,40664
8.51,8.3,8.27,8.69,718122261,41497
8.3,8.6,8.25,8.77,554243825,36772
8.62,8.58,8.52,8.84,320145079,24468
8.78,8.97,8.78,8.99,341657316,31015
9.18,9.28,9.05,9.38,425936869,44694
9.39,8.8,8.8,9.41,702815533,54657
8.62,8.42,8.39,8.72,294416677,30075
8.46,8.7,8.45,8.78,314570676,30097
8.57,8.51,8.45,8.67,386974016,37499
8.4,8.19,8.03,8.41,431989303,33452
8.18,8.09,7.86,8.25,367903010,42112
8.04,8.36,8.04,8.57,480428979,56676
8.38,8.18,8.06,8.62,265184518,19521
8.23,8.5,8.23,8.57,391352150,35798
8.67,8.68,8.59,8.94,395885753,34032
8.53,8.69,8.45,8.85,384329922,39362
8.5,8.55,8.42,8.67,434582535,36635
8.9,9.2,8.9,9.46,594326190,47269
8.96,9.25,8.65,9.25,666273733,47764
9.32,9.31,9.27,9.65,487168921,42319
9.5,9.83,9.46,9.88,443574401,40244
9.75,9.55,9.52,9.85,596170942,36685
9.46,9.93,9.39,10.06,668260190,60854
9.79,10.4,9.79,10.47,675049775,51917
10.25,10.39,9.99,10.5,762187873,49178
10.21,9.82,9.72,10.21,520272308,38000
9.48,10.01,8.84,10.05,888858988,72734
10.08,9.63,9.58,10.13,448185357,34841
9.81,10.28,9.6,10.3,647812356,39202
9.92,9.85,9.85,10.15,428761814,28576
9.78,10.01,9.71,10.09,458544376,36504
10.17,10.25,9.93,10.36,488790203,27918
10.23,10.41,10.01,10.49,548271650,39767
10.23,10.23,10.08,10.54,592154574,35626
10.25,9.85,9.77,10.3,861495999,57320
9.67,9.48,9.34,9.74,385231571,32487
9.33,9.71,9.33,9.9,532753536,34472
9.75,9.32,9.29,9.93,612373023,46010
9.48,9.48,9.34,9.64,503958256,37149
9.62,9.48,9.34,9.67,545078948,41320
9.24,9.65,8.89,9.72,825145523,54699
9.69,9.25,9.07,9.83,895806404,60168
9.16,9.16,9.12,9.77,716163557,56201
9.51,9.41,9.29,9.74,1008350714,68219
9.03,8.55,8.49,9.15,757541727,53947
8.39,8.43,8.34,8.58,516665758,50377
8.26,8.13,8.04,8.34,690402630,34103
7.7,7.79,7.6,7.85,355436294,25762
7.58,7.77,7.58,7.96,544294754,32467
7.83,7.55,7.41,8.05,586195354,50166
7.58,8,7.53,8.18,549510030,43621
8.36,8.05,7.94,8.41,603182310,37128
8.35,8.36,8.19,8.63,583425870,44127
8.44,8.7,8.28,9,777981015,61649
8.49,8.34,8.19,8.85,755373210,50514
8.44,8.15,7.91,8.48,568050120,36881
7.81,7.53,7.32,8,398617252,33097
7.78,7.88,7.66,7.96,473396702,53748
8.11,7.85,7.73,8.18,669341665,47166
8.06,8.08,7.93,8.27,526247185,47562
8.12,8.09,7.72,8.17,608847049,54700
8.1,8.15,7.71,8.19,943356446,85880
7.23,6.51,6.41,7.23,584312229,54090
6.61,6.61,6.56,6.96,698485643,82758
7.4,7.4,7.4,8.2,655229814,63709
8.09,7.94,7.67,8.22,737423978,63170
7.95,7.8,7.31,7.96,900474457,76942
7.6,7.7,7.36,7.78,646121853,57560
7.47,7.37,7.08,7.84,1020738081,97508
7.37,7.25,6.95,7.53,620017158,64236
7.22,7.9,6.9,7.9,1294776987,46689
6.57,5.85,5.8,6.8,1175567290,39293
5.65,5.21,5.15,5.65,479617434,44317
5.31,5.31,5.1,5.37,425053951,45743
5.14,5.08,4.98,5.23,430988316,36333
4.87,5.02,4.83,5.1,303071251,25610
4.89,4.81,4.79,5.08,346666368,30267
4.87,4.77,4.65,4.93,358950586,41390
4.92,4.95,4.82,5.28,424211218,39741
5.04,4.67,4.63,5.04,390806050,35259
4.46,4.5,4.4,4.57,250595260,23527
4.59,4.69,4.55,4.87,303469287,32641
4.68,4.54,4.51,4.82,392727840,55693
4.44,4.5,4.42,4.64,364114497,25833
4.52,4.56,4.52,4.6,129541474,30905
4.45,4.37,4.3,4.51,282745752,52209
4.23,4.2,4.12,4.27,249244383,44276
4.31,4.3,4.28,4.41,198066317,28847
4.54,4.73,4.53,4.78,244701978,28648
4.73,4.56,4.36,4.94,429188278,48820
4.49,4.42,4.22,4.52,324113619,35623
4.3,4.56,4.3,4.65,238862902,40984
4.72,4.74,4.66,4.86,245882432,28762
4.84,4.7,4.52,4.86,439826229,64685
4.6,4.67,4.35,5.13,618332894,59274
4.57,4.22,4.16,4.64,352368579,37197
4.2,4.23,4.12,4.31,302717532,52018
