ID,H1,H2,H3,H4,H5,H6,H7,H8,H9,N2,N3,N4,N5,N6,N7,N8,N9,N10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,C1,C2,C3,C4,C5,C6,C7,C8,C9,Sexo,,,
58,1,3,3.00,2,2,3,12,49,13,39,8,12,1,0,1,5,4,3,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,,,
59,3,2,3.00,1,2,2,97,21,11,0,16,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
60,1,1,3.00,2,0,12,12,34,12,45,12,12,0,1,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
61,3,3,3.00,1,1,4,12,34,12,36,7,12,1,0,2,5,3,4,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,,,
62,1,3,3.00,0,2,2,12,33,13,32,12,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
63,1,2,3.00,1,0,6,12,31,16,48,99,16,0,8,4,5,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
64,1,3,3.00,2,1,10,7,50,12,44,12,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
65,1,3,3.00,3,8,3,6,48,12,39,12,12,1,0,4,5,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,,
66,1,3,3.00,3,0,8,6,46,11,29,99,4,0,2,4,1,3,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
67,1,3,3.00,3,2,5,6,36,12,31,6,13,1,0,4,5,1,3,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
68,3,3,3.00,5,2,4,14,34,11,0,9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
69,1,2,3.00,5,1,4,99,22,13,36,16,9,2,0,1,5,2,3,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,,,
70,2,3,3.00,4,0,5,98,71,11,36,99,97,0,2,1,3,4,5,2,1,2,2,2,2,1,2,2,1,9,9,9,9,9,9,9,9,9,2,,,
71,2,1,3.00,8,0,9,11,37,12,0,13,97,0,1,2,5,4,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
72,2,2,3.00,3,1,8,98,67,9,31,98,97,1,0,2,5,3,4,1,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,,,,
73,2,1,3.00,2,1,2,98,61,12,26,9,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
74,2,2,3.00,3,0,0,97,50,14,40,14,97,0,1,1,5,4,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
75,3,3,3.00,5,2,10,97,49,4,30,3,6,2,0,4,5,3,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
76,1,3,3.00,3,0,1,97,65,15,65,12,97,0,2,1,5,3,2,4,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
77,2,1,3.00,2,1,3,97,39,16,60,12,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
78,1,2,3.00,0,0,1,12,80,14,51,10,97,0,1,2,5,1,3,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
79,3,1,3.00,1,1,5,97,47,15,47,8,97,1,0,4,5,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
80,1,2,3.00,3,0,8,8,61,12,32,8,97,0,1,5,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
81,1,2,3.00,0,2,2,12,54,14,60,14,97,3,0,9,9,9,9,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
82,1,1,3.00,0,1,4,16,28,16,25,12,97,1,0,5,4,2,3,1,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,,,
83,1,2,3.00,0,0,2,8,59,16,51,8,97,0,1,1,5,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
84,1,2,3.00,0,1,1,16,25,16,42,12,97,1,0,5,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
85,3,3,3.00,4,3,3,98,77,11,28,98,98,1,0,3,2,5,4,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
86,1,2,3.00,0,1,1,97,33,18,51,16,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
87,1,2,3.00,0,0,0,12,43,16,30,8,97,0,1,4,5,1,2,3,1,1,2,2,2,9,9,9,1,2,2,2,2,2,2,2,2,2,,,,
88,1,2,3.00,1,2,2,14,23,12,32,97,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
89,1,2,3.00,0,0,7,98,20,11,37,99,12,0,2,3,4,5,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,
90,1,3,3.00,4,2,6,11,28,9,53,2,97,1,0,4,5,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
91,1,2,3.00,2,2,1,12,36,10,29,12,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
92,1,3,3.00,2,0,2,11,36,12,20,10,97,0,1,4,5,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
93,1,2,3.00,4,3,7,18,30,13,40,15,97,2,0,4,5,1,3,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,,,
94,1,2,3.00,5,2,4,17,44,15,61,12,13,2,0,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
95,2,2,3.00,0,2,4,6,37,13,60,16,97,1,0,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
96,1,1,3.00,3,0,11,13,35,12,31,15,16,0,1,4,5,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
97,1,2,3.00,3,0,4,12,38,12,39,2,16,0,2,4,3,2,5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,
98,1,1,3.00,0,0,3,12,24,12,40,12,12,0,2,4,5,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,,,
99,1,2,1.00,2,0,5,97,38,8,29,8,14,0,2,2,5,1,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
100,1,3,1.00,1,2,4,8,58,14,58,8,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
101,1,2,1.00,3,0,1,3,31,9,23,8,97,0,1,4,5,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,
102,1,2,1.00,2,0,6,0,71,8,30,0,97,0,8,1,5,3,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
103,1,1,1.00,2,1,1,12,54,12,51,12,12,2,0,4,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
104,1,2,1.00,2,2,0,8,68,12,46,5,97,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
105,1,2,1.00,2,2,3,97,33,10,54,10,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
106,1,2,1.00,0,1,6,18,30,16,57,16,97,2,0,5,4,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
107,1,2,1.00,8,2,14,97,71,12,32,98,97,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
108,2,1,1.00,4,1,3,7,22,11,0,6,97,2,0,2,5,4,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
109,2,1,1.00,5,1,13,98,72,12,40,6,97,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
110,2,2,1.00,1,0,3,97,40,14,32,11,97,0,1,1,5,4,2,3,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,,,,
111,2,2,1.00,4,1,4,97,43,13,31,4,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
112,2,3,1.00,4,0,0,12,51,12,24,0,97,0,2,4,3,5,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
113,2,2,1.00,0,2,5,98,31,13,17,14,97,2,0,2,5,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
114,3,9,1.00,2,9,10,14,56,16,39,16,97,1,0,9,9,9,9,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
115,2,2,1.00,1,1,11,98,85,9,22,98,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
116,2,3,1.00,3,0,2,12,30,11,30,14,14,0,2,4,2,5,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
117,1,1,1.00,3,2,1,97,34,16,66,12,16,1,0,4,5,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
118,1,1,1.00,4,1,1,14,35,15,45,12,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
119,2,2,1.00,0,0,0,14,25,16,51,97,97,0,1,5,4,1,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,,,
120,1,2,1.00,0,1,7,16,35,16,27,20,97,2,0,4,5,1,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
121,1,2,1.00,4,0,6,14,42,16,64,15,18,0,1,5,4,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
122,1,2,1.00,0,2,0,8,75,12,41,6,97,2,0,1,5,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
123,1,2,1.00,0,1,4,7,29,16,22,12,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
124,1,2,1.00,4,0,6,6,60,12,54,8,12,0,1,1,5,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
125,1,2,1.00,1,2,4,97,36,15,65,14,97,1,0,5,3,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
126,1,1,1.00,1,1,8,12,32,19,43,12,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
127,1,2,1.00,1,0,6,13,34,12,59,12,14,0,1,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
128,1,2,1.00,3,1,3,12,47,14,36,12,18,1,0,2,4,3,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
129,1,2,1.00,3,1,1,14,50,14,39,12,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
130,1,1,1.00,3,0,4,10,46,19,43,99,20,0,1,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
131,1,3,1.00,0,1,6,20,41,14,28,18,97,2,0,5,4,3,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,,,
132,1,3,1.00,0,0,1,16,35,16,25,16,97,0,1,5,4,1,2,3,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,,,
133,2,1,1.00,3,2,5,11,33,12,43,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
134,2,2,1.00,0,0,4,3,34,12,58,12,97,0,1,3,5,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
135,2,2,1.00,2,1,5,98,36,10,36,9,97,8,0,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,
136,2,1,1.00,0,1,2,12,26,8,0,98,97,8,0,4,3,1,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
137,2,9,1.00,7,2,3,4,59,10,28,12,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
138,2,3,1.00,7,0,5,97,41,13,22,12,14,0,1,3,5,1,2,4,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,,,
139,1,1,1.00,4,2,2,11,44,16,55,11,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
140,1,1,1.00,1,0,1,8,74,12,47,7,97,0,2,1,5,4,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
141,1,2,1.00,1,2,0,8,85,11,51,8,97,2,0,2,5,3,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
142,1,2,1.00,2,1,2,5,71,12,46,3,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
143,1,2,1.00,0,1,2,10,27,17,68,11,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
144,2,2,1.00,7,2,5,97,69,99,29,99,97,8,0,1,5,3,4,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
145,2,3,1.00,1,2,0,97,20,11,22,11,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
146,2,2,1.00,7,0,11,97,66,14,39,8,97,0,1,1,5,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
147,2,1,1.00,3,0,0,98,40,13,40,13,16,0,1,2,5,1,3,4,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,,,
148,1,2,1.00,2,0,2,12,35,16,42,12,16,0,1,2,5,1,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
149,1,2,1.00,1,2,1,10,33,16,64,10,17,1,0,5,4,1,2,3,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,,,
150,1,1,1.00,2,0,5,13,43,15,49,12,11,0,1,3,5,1,4,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,,,
151,1,2,1.00,3,0,2,97,35,13,46,12,11,0,1,5,4,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
152,1,3,1.00,0,8,3,12,27,12,52,12,12,1,0,4,5,1,2,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,,,
153,1,2,1.00,2,2,2,17,24,12,44,14,12,2,0,4,5,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,,,
154,1,1,1.00,1,0,7,98,64,14,47,9,12,0,2,4,5,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
155,1,2,1.00,0,1,5,98,70,18,66,6,97,2,0,4,5,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
156,1,1,1.00,0,1,2,14,42,12,39,14,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
157,1,3,1.00,2,0,1,98,53,10,49,12,97,0,1,9,9,9,9,9,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,,,
158,1,2,1.00,0,0,2,16,36,18,61,16,20,0,1,5,4,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
159,2,1,1.00,4,0,3,8,75,12,39,97,12,0,2,2,5,1,3,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
160,2,2,1.00,1,1,2,12,42,14,60,10,97,1,0,5,4,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
161,2,2,1.00,0,2,3,12,21,12,0,18,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
162,2,3,1.00,2,0,2,97,22,10,0,10,97,0,2,4,5,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
163,2,1,1.00,2,1,6,9,42,13,31,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
164,1,3,1.00,2,0,5,16,52,14,55,14,18,0,2,1,5,3,2,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
165,1,2,1.00,4,2,1,12,63,14,45,9,97,2,0,1,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
